id,name,lat,lon
1,  q,   30, 10
2,  w,   32, 14
3,  e,   32, 18
4,  r,   30, 22
5,  a,   20,  8
6,  s,   22, 16
7,  d,   22, 20
8,  f,   20, 24
9,  z,   10, 10
10, x,   12, 14
11, c,   12, 18
12, v,   10, 22
13, u,   30, 38
14, i,   32, 42
15, o,   32, 46
16, p,   30, 50
17, j,   20, 36
18, k,   22, 40
19, l,   22, 44
20, sc, 20, 52
21, m,   10, 38
22, co, 12, 42
23, pd, 12, 46
24, bs, 10, 50
25, t,   30, 26
26, g,   20, 28
27, b,   10, 26
28, y,   30, 34
29, h,   20, 32
30, n,   10, 34
31, eq, 30, 54
32, br, 20, 54
