origin,dest,count
12,22,159.0
12,23,160.0
12,24,146.0
12,25,262.0
12,26,228.0
12,27,235.0
12,28,162.0
12,29,157.0
12,30,153.0
12,31,168.0
12,32,173.0
13,1,169.0
13,2,162.0
13,3,157.0
13,4,154.0
13,5,143.0
13,6,138.0
13,7,134.0
13,8,133.0
13,9,171.0
13,10,166.0
13,11,159.0
13,12,153.0
13,13,151.0
13,14,147.0
13,15,141.0
13,16,145.0
13,17,188.0
13,18,151.0
13,19,142.0
13,20,164.0
13,21,213.0
13,22,204.0
13,23,162.0
13,24,164.0
13,25,158.0
13,26,156.0
13,27,165.0
13,28,196.0
13,29,191.0
13,30,207.0
13,31,145.0
13,32,149.0
14,1,176.0
14,2,169.0
14,3,164.0
14,4,162.0
14,5,150.0
14,6,145.0
14,7,141.0
14,8,140.0
14,9,178.0
14,10,173.0
14,11,166.0
14,12,160.0
14,13,147.0
14,14,151.0
14,15,189.0
14,16,209.0
14,17,137.0
14,18,207.0
14,19,191.0
14,20,206.0
14,21,149.0
14,22,227.0
14,23,208.0
14,24,206.0
14,25,165.0
14,26,163.0
14,27,172.0
14,28,145.0
14,29,144.0
14,30,144.0
14,31,226.0
14,32,197.0
15,1,178.0
15,2,170.0
15,3,165.0
15,4,163.0
15,5,151.0
15,6,146.0
15,7,142.0
15,8,141.0
15,9,179.0
15,10,174.0
15,11,167.0
15,12,161.0
15,13,141.0
15,14,189.0
15,15,157.0
15,16,253.0
15,17,136.0
15,18,188.0
15,19,210.0
15,20,231.0
15,21,155.0
15,22,226.0
15,23,239.0
15,24,231.0
15,25,166.0
15,26,164.0
15,27,173.0
15,28,139.0
15,29,149.0
15,30,137.0
15,31,225.0
15,32,276.0
16,1,186.0
16,2,178.0
16,3,173.0
16,4,171.0
16,5,160.0
16,6,154.0
16,7,150.0
16,8,150.0
16,9,188.0
16,10,182.0
16,11,176.0
16,12,169.0
16,13,145.0
16,14,209.0
16,15,253.0
16,16,170.0
16,17,147.0
16,18,206.0
16,19,251.0
16,20,233.0
16,21,164.0
16,22,268.0
16,23,362.0
16,24,233.0
16,25,175.0
16,26,173.0
16,27,182.0
16,28,149.0
16,29,154.0
16,30,176.0
16,31,236.0
16,32,271.0
17,1,156.0
17,2,148.0
17,3,143.0
17,4,141.0
17,5,129.0
17,6,124.0
17,7,120.0
17,8,119.0
17,9,157.0
17,10,152.0
17,11,145.0
17,12,139.0
17,13,188.0
17,14,137.0
17,15,136.0
17,16,147.0
17,17,151.0
17,18,133.0
17,19,138.0
17,20,152.0
17,21,192.0
17,22,149.0
17,23,139.0
17,24,152.0
17,25,144.0
17,26,142.0
17,27,151.0
17,28,213.0
17,29,201.0
17,30,188.0
17,31,143.0
17,32,144.0
18,1,156.0
18,2,148.0
18,3,143.0
18,4,141.0
18,5,129.0
18,6,124.0
18,7,120.0
18,8,119.0
18,9,157.0
18,10,152.0
18,11,145.0
18,12,139.0
18,13,151.0
18,14,207.0
18,15,188.0
18,16,206.0
18,17,133.0
18,18,151.0
18,19,179.0
18,20,183.0
18,21,145.0
18,22,204.0
18,23,183.0
18,24,183.0
18,25,144.0
18,26,142.0
18,27,151.0
18,28,153.0
18,29,147.0
18,30,144.0
18,31,194.0
18,32,201.0
19,1,158.0
19,2,150.0
19,3,145.0
19,4,143.0
19,5,132.0
19,6,126.0
19,7,122.0
19,8,122.0
19,9,160.0
19,10,154.0
19,11,148.0
19,12,141.0
19,13,142.0
19,14,191.0
19,15,210.0
19,16,251.0
19,17,138.0
19,18,179.0
19,19,157.0
19,20,240.0
19,21,145.0
19,22,185.0
19,23,208.0
19,24,240.0
19,25,146.0
19,26,145.0
19,27,153.0
19,28,142.0
19,29,153.0
19,30,139.0
19,31,235.0
19,32,229.0
20,1,163.0
20,2,155.0
20,3,150.0
20,4,148.0
20,5,137.0
20,6,131.0
20,7,127.0
20,8,126.0
20,9,164.0
20,10,159.0
20,11,153.0
20,12,146.0
20,13,164.0
20,14,206.0
20,15,231.0
20,16,233.0
20,17,152.0
20,18,183.0
20,19,240.0
20,20,170.0
20,21,160.0
20,22,220.0
20,23,293.0
20,24,170.0
20,25,151.0
20,26,150.0
20,27,158.0
20,28,160.0
20,29,148.0
20,30,152.0
20,31,230.0
20,32,242.0
21,1,171.0
21,2,163.0
21,3,158.0
21,4,156.0
21,5,145.0
21,6,139.0
21,7,135.0
21,8,135.0
21,9,173.0
21,10,167.0
21,11,161.0
21,12,154.0
21,13,213.0
21,14,149.0
21,15,155.0
21,16,164.0
21,17,192.0
21,18,145.0
21,19,145.0
21,20,160.0
21,21,151.0
21,22,140.0
21,23,142.0
21,24,160.0
21,25,159.0
21,26,158.0
21,27,166.0
21,28,226.0
21,29,218.0
21,30,198.0
21,31,175.0
21,32,145.0
22,1,175.0
22,2,167.0
22,3,163.0
22,4,160.0
22,5,149.0
22,6,144.0
22,7,140.0
22,8,139.0
22,9,177.0
22,10,172.0
22,11,165.0
22,12,159.0
22,13,204.0
22,14,227.0
22,15,226.0
22,16,268.0
22,17,149.0
22,18,204.0
22,19,185.0
22,20,220.0
22,21,140.0
22,22,151.0
22,23,175.0
22,24,220.0
22,25,164.0
22,26,162.0
22,27,171.0
22,28,220.0
22,29,188.0
22,30,140.0
22,31,265.0
22,32,188.0
23,1,177.0
23,2,169.0
23,3,164.0
23,4,162.0
23,5,151.0
23,6,145.0
23,7,141.0
23,8,141.0
23,9,179.0
23,10,173.0
23,11,167.0
23,12,160.0
23,13,162.0
23,14,208.0
23,15,239.0
23,16,362.0
23,17,139.0
23,18,183.0
23,19,208.0
23,20,293.0
23,21,142.0
23,22,175.0
23,23,157.0
23,24,293.0
23,25,165.0
23,26,164.0
23,27,172.0
23,28,185.0
23,29,148.0
23,30,138.0
23,31,265.0
23,32,230.0
24,1,163.0
24,2,155.0
24,3,150.0
24,4,148.0
24,5,137.0
24,6,131.0
24,7,127.0
24,8,126.0
24,9,164.0
24,10,159.0
24,11,153.0
24,12,146.0
24,13,164.0
24,14,206.0
24,15,231.0
24,16,233.0
24,17,152.0
24,18,183.0
24,19,240.0
24,20,170.0
24,21,160.0
24,22,220.0
24,23,293.0
24,24,170.0
24,25,151.0
24,26,150.0
24,27,158.0
24,28,160.0
24,29,148.0
24,30,152.0
24,31,230.0
24,32,242.0
25,1,155.0
25,2,149.0
25,3,149.0
25,4,251.0
25,5,167.0
25,6,151.0
25,7,164.0
25,8,235.0
25,9,164.0
25,10,162.0
25,11,248.0
25,12,262.0
25,13,158.0
25,14,165.0
25,15,166.0
25,16,175.0
25,17,144.0
25,18,144.0
25,19,146.0
25,20,151.0
25,21,159.0
25,22,164.0
25,23,165.0
25,24,151.0
25,25,169.0
25,26,221.0
25,27,255.0
25,28,167.0
25,29,163.0
25,30,158.0
25,31,173.0
25,32,178.0
26,1,163.0
26,2,152.0
26,3,147.0
26,4,240.0
26,5,156.0
26,6,153.0
26,7,146.0
26,8,231.0
26,9,167.0
26,10,154.0
26,11,161.0
26,12,228.0
26,13,156.0
26,14,163.0
26,15,164.0
26,16,173.0
26,17,142.0
26,18,142.0
26,19,145.0
26,20,150.0
26,21,158.0
26,22,162.0
26,23,164.0
26,24,150.0
26,25,221.0
26,26,169.0
26,27,228.0
26,28,166.0
26,29,161.0
26,30,156.0
26,31,172.0
26,32,176.0
27,1,196.0
27,2,175.0
27,3,171.0
27,4,276.0
27,5,168.0
27,6,153.0
27,7,150.0
27,8,254.0
27,9,160.0
27,10,148.0
27,11,149.0
27,12,235.0
27,13,165.0
27,14,172.0
27,15,173.0
27,16,182.0
27,17,151.0
27,18,151.0
27,19,153.0
27,20,158.0
27,21,166.0
27,22,171.0
27,23,172.0
27,24,158.0
27,25,255.0
27,26,228.0
27,27,169.0
27,28,174.0
27,29,170.0
27,30,165.0
27,31,181.0
27,32,185.0
28,1,179.0
28,2,171.0
28,3,166.0
28,4,164.0
28,5,153.0
28,6,147.0
28,7,143.0
28,8,142.0
28,9,181.0
28,10,175.0
28,11,169.0
28,12,162.0
28,13,196.0
28,14,145.0
28,15,139.0
28,16,149.0
28,17,213.0
28,18,153.0
28,19,142.0
28,20,160.0
28,21,226.0
28,22,220.0
28,23,185.0
28,24,160.0
28,25,167.0
28,26,166.0
28,27,174.0
28,28,151.0
28,29,203.0
28,30,216.0
28,31,148.0
28,32,155.0
29,1,174.0
29,2,166.0
29,3,162.0
29,4,159.0
29,5,148.0
29,6,142.0
29,7,138.0
29,8,138.0
29,9,176.0
29,10,170.0
29,11,164.0
29,12,157.0
29,13,191.0
29,14,144.0
29,15,149.0
29,16,154.0
29,17,201.0
29,18,147.0
29,19,153.0
29,20,148.0
29,21,218.0
29,22,188.0
29,23,148.0
29,24,148.0
29,25,163.0
29,26,161.0
29,27,170.0
29,28,203.0
29,29,151.0
29,30,200.0
29,31,146.0
29,32,150.0
30,1,169.0
30,2,162.0
30,3,157.0
30,4,154.0
30,5,143.0
30,6,138.0
30,7,134.0
30,8,133.0
30,9,171.0
30,10,166.0
30,11,159.0
30,12,153.0
30,13,207.0
30,14,144.0
30,15,137.0
30,16,176.0
30,17,188.0
30,18,144.0
30,19,139.0
30,20,152.0
30,21,198.0
30,22,140.0
30,23,138.0
30,24,152.0
30,25,158.0
30,26,156.0
30,27,165.0
30,28,216.0
30,29,200.0
30,30,151.0
30,31,148.0
30,32,161.0
31,1,185.0
31,2,177.0
31,3,172.0
31,4,170.0
31,5,159.0
31,6,153.0
31,7,149.0
31,8,149.0
31,9,187.0
31,10,181.0
31,11,175.0
31,12,168.0
31,13,145.0
31,14,226.0
31,15,225.0
31,16,236.0
31,17,143.0
31,18,194.0
31,19,235.0
31,20,230.0
31,21,175.0
31,22,265.0
31,23,265.0
31,24,230.0
31,25,173.0
31,26,172.0
31,27,181.0
31,28,148.0
31,29,146.0
31,30,148.0
31,31,170.0
31,32,230.0
32,1,189.0
32,2,182.0
32,3,177.0
32,4,175.0
32,5,163.0
32,6,158.0
32,7,154.0
32,8,153.0
32,9,191.0
32,10,186.0
32,11,179.0
32,12,173.0
32,13,149.0
32,14,197.0
32,15,276.0
32,16,271.0
32,17,144.0
32,18,201.0
32,19,229.0
32,20,242.0
32,21,145.0
32,22,188.0
32,23,230.0
32,24,242.0
32,25,178.0
32,26,176.0
32,27,185.0
32,28,155.0
32,29,150.0
32,30,161.0
32,31,230.0
32,32,170.0
